[28]総推力32bit,[22]刀盘扭矩,地表沉降
21367.760000000006,2594.16,-5.756399999999999
21187.0,2161.8,-5.821529999999999
20343.0,2017.68,-5.886669999999999
18297.0,1873.56,-5.9518
20334.0,2161.8,-6.01693
16002.0,1729.44,-6.08207
16592.0,1657.38,-6.1472
16905.0,1225.02,-6.2123300000000015
16084.0,1225.02,-6.277470000000001
17124.0,2161.8,-6.342600000000001
16442.0,2089.74,-6.407730000000001
16739.0,1657.38,-6.47287
15947.0,1297.08,-6.538
15131.0,1297.08,-6.603129999999999
14184.0,1441.2,-6.66827
15785.0,1441.2,-6.733399999999999
15092.0,1441.2,-6.79853
14264.0,1297.08,-6.86367
14922.0,1225.02,-6.9288
14008.0,1225.02,-6.993930000000001
13129.0,1225.02,-7.059069999999999
14005.0,1441.2,-7.124200000000001
12310.0,1225.02,-7.18933
12531.0,1369.14,-7.25447
12778.0,1225.02,-7.3196
11253.6,1225.02,-7.384729999999999
12348.0,1225.02,-7.44987
12245.0,1297.08,-7.515
11253.6,1225.02,-11.665999999999999
11253.6,1225.02,-15.817
11253.6,1225.02,-19.968
11539.0,1225.02,-24.119
11253.6,1225.02,-28.27
11253.6,1225.02,-24.535999999999998
11253.6,1225.02,-20.802
11253.6,1297.08,-17.067999999999998
11253.6,1441.2,-13.334000000000001
11253.6,1657.38,-9.6
11639.0,1585.32,-13.241
11331.0,1225.02,-16.882
13344.0,1729.44,-20.523000000000003
12308.0,1801.5,-24.164
13307.0,1801.5,-27.805
12803.0,1801.5,-29.524
12957.0,1225.02,-31.243000000000002
12021.0,1369.14,-32.961999999999996
12978.0,1729.44,-34.681
13146.0,1729.44,-36.4
13418.0,1585.32,-35.13
12804.0,1657.38,-33.86
13216.0,2305.92,-32.59
12848.0,2450.04,-31.32
13641.0,2377.98,-30.050000000000004
14107.0,2377.98,-31.73
14694.0,2450.04,-33.41
13538.0,2305.92,-35.09
13193.0,2233.86,-36.77
13517.0,2089.74,-38.45
14268.0,2089.74,-43.837999999999994
14413.0,2017.68,-48.77120000000001
13675.0,1729.44,-48.77120000000001
13566.0,1801.5,-48.77120000000001
13143.0,1657.38,-48.77120000000001
13179.0,1801.5,-48.77120000000001
11826.0,1585.32,-48.77120000000001
12393.0,1585.32,-48.77120000000001
12807.0,1657.38,-48.77120000000001
13202.0,1873.56,-48.77120000000001
12022.0,1729.44,-48.77120000000001
12308.0,1945.62,-48.77120000000001
11444.0,2017.68,-48.77120000000001
11598.0,2017.68,-48.77120000000001
11253.6,1801.5,-48.77120000000001
11586.0,1873.56,-48.77120000000001
12380.0,1945.62,-48.77120000000001
11901.0,1945.62,-48.77120000000001
11884.0,1801.5,-46.428999999999995
12219.0,1513.26,-40.225
11253.6,1585.32,-37.976
11568.0,1945.62,-35.727
12223.0,1873.56,-33.478
11349.0,1801.5,-31.229
11723.0,1945.62,-28.98
11711.0,1585.32,-25.712
11253.6,1657.38,-22.444000000000003
11264.0,1657.38,-19.176
12146.0,1585.32,-12.64
11253.6,1225.02,-10.703
11253.6,1225.02,-8.766
11253.6,1225.02,-6.828999999999999
11253.6,1225.02,-4.8919999999999995
11253.6,1225.02,-2.955
11253.6,1225.02,-1.0180000000000007
